id,parentId,department,name
B84700155D00230511EAC029A29AC661,B84600155D00230511EA83082DAD47BE,Инженеры ЭС (Санкт-Петербург),Инженеры ЭС (Санкт-Петербург)
B85800155D00230511EBC86B561F1497,B84600155D00230511EA83082DAD47BE,Специалисты ГП (Москва),Специалисты ГП (Москва)
B85800155D00230511EBC86B6B561D49,B84600155D00230511EA83082DAD47BE,Специалисты ГП (Новосибирск),Специалисты ГП (Новосибирск)
B85800155D00230511EBC86B5D758AA1,B84600155D00230511EA83082DAD47BE,Специалисты ГП (Санкт-Петербург),Специалисты ГП (Санкт-Петербург)
A2CF00505601289111E8FEE6A87F801A,A2CF00505601289111E8FED7CBDF1434,Группа по проектированию объектов транспортной инфраструктуры,Группа по проектированию объектов транспортной инфраструктуры
A2CF00505601289111E8FEE714E0E04F,A2CF00505601289111E8FED7CBDF1434,Группа по проектированию торговых и производственных объектов,Группа по проектированию торговых и производственных объектов
B85400155D00230511EB7B355DC7FD8B,A2CF00505601289111E8FED7CBDF1434,Группа разработки РД,Группа разработки РД
A2CF00505601289111E8FEE71C9E2DD5,A2CF00505601289111E8FED7CBDF1434,Группа технологов,Группа технологов
B84600155D00230511EA8464F7AE4582,A2CF00505601289111E8FED7CBDF1434,Конструкторская группа,Конструкторская группа
B87300155D00230511EDBCDFE71B8810,B84600155D00230511EA8464F7AE4582,Группа проектирования КМ,Группа проектирования КМ
B85E00155D00230511EC2111A5D0AD4C,B84600155D00230511EA8464F7AE4582,Группа проектирования фасадов,Группа проектирования фасадов
A2CF00505601289111E8FEE6362772DB,B84600155D00230511EA8464F7AE4582,Конструкторы МСК,Конструкторы МСК
B85400155D00230511EB6F808C8D3D0C,B84600155D00230511EA8464F7AE4582,Конструкторы НСК,Конструкторы НСК
A2CF00505601289111E8FEE6412F1E26,B84600155D00230511EA8464F7AE4582,Конструкторы СПб,Конструкторы СПб
A2CF00505601289111E8FEE7644DDB24,A2CF00505601289111E8FEE86207A36E,"БН ""Управление недвижимостью""","БН ""Управление недвижимостью"""
A2D100505601289111E966A35F0ABBE1,A2CF00505601289111E8FEE7644DDB24,Группа менеджеров по УН,Группа менеджеров по УН
A2CF00505601289111E8FEE77C52C544,A2CF00505601289111E8FEE7644DDB24,Группа по эксплуатации,Группа по эксплуатации
A2CF00505601289111E8FEE78ABD8C82,A2CF00505601289111E8FEE7644DDB24,Группа специалистов по эксплуатации,Группа специалистов по эксплуатации
A2CF00505601289111E8FEE79511A735,A2CF00505601289111E8FEE86207A36E,"БН ""Управление проектами""","БН ""Управление проектами"""
A2D100505601289111E96737A81D983F,A2CF00505601289111E8FEE79511A735,Группа менеджеров по строительству (УП),Группа менеджеров по строительству (УП)
A2CF00505601289111E8FEE7AA2EB0DF,A2CF00505601289111E8FEE79511A735,Группа управления проектами,Группа управления проектами
B87600155D00230511EE008CEE7FC3D9,A2CF00505601289111E8FEE7AA2EB0DF,Группа ассистентов проекта,Группа ассистентов проекта
B87600155D00230511EE008D53A49F68,A2CF00505601289111E8FEE7AA2EB0DF,Группа координаторов проекта,Группа координаторов проекта
A2CF00505601289111E8FEE7B91A3799,A2CF00505601289111E8FEE79511A735,Группа управления стоимостью и бюджетирования проектов,Группа управления стоимостью и бюджетирования проектов
B86000155D00230511EC63B9FF8A06CA,A2CF00505601289111E8FEE79511A735,Специализация технического заказчика и объектов культурного наследия,Специализация технического заказчика и объектов культурного наследия
B85500155D00230511EB8802B99839A4,A2CF00505601289111E8FEE79511A735,"Специализация: ""Изыскания и обследования""","Специализация: ""Изыскания и обследования"""
A2CF00505601289111E8FEE7C4179A88,A2CF00505601289111E8FEE86207A36E,"БН ""Управление строительством""","БН ""Управление строительством"""
